FEI Number,Legal Name,Street Address,City,State/Province,Zip Code,Country/Area,District,Program Area,Fiscal Year,Inspection End Date,Posting Date,Classification,Observation_1,Observation_2,Observation_3
9205654,"Fresenius Kabi USA LLC","337 Industrial Blvd",Seattle,IN,14416,Italy,Dallas,Medical Devices,2025,2024-05-05,2024-05-05,VAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.","Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.","Change control system does not require impact assessment for changes to validated processes or analytical methods."
8240278,"Novartis Pharmaceuticals Corp","422 Industrial Blvd",Denver,PA,10397,Ireland,Chicago,API,2025,2024-03-29,2024-03-29,NAI,,,
4112989,"Wockhardt Ltd","304 Industrial Blvd",Dallas,WI,65142,United Kingdom,New England,Drugs,2024,2022-02-20,2022-02-20,NAI,,,
9355272,"Hikma Pharmaceuticals USA","273 Industrial Blvd",San Diego,OH,72303,China,Mid-Atlantic,Animal Drugs,2025,2022-06-28,2022-06-28,NAI,,,
2271818,"Aurobindo Pharma Ltd","246 Industrial Blvd",Atlanta,CA,22646,Japan,Dallas,Animal Drugs,2022,2025-01-23,2025-01-23,OAI,"Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Written procedures are not followed for in-process testing and controls as required under 21 CFR 211.110(a).",
5254403,"Aurobindo Pharma Ltd","697 Industrial Blvd",Boston,MA,64099,Switzerland,Mid-Atlantic,CDRH,2024,2022-03-29,2022-03-29,VAI,"Batch records do not document complete reconciliation of yields at each appropriate phase of processing per 21 CFR 211.188(b)(11).","Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",
7686235,"Johnson & Johnson Inc","189 Industrial Blvd",Dallas,CA,87660,Switzerland,New York/New Jersey,OTC Drugs,2023,2026-07-09,2026-07-09,NAI,,,
5686410,"Baxter Healthcare Corp","694 Industrial Blvd",Atlanta,IL,36023,Italy,Pacific,OTC Drugs,2023,2026-01-28,2026-01-28,VAI,"Audit trail review procedures are inadequate. Changes to critical data parameters not captured with time-stamped records.","Equipment used in the manufacture of drug products is not maintained, cleaned, and sanitized at appropriate intervals per 21 CFR 211.67(a).",
4188965,"Johnson & Johnson Inc","965 Industrial Blvd",Philadelphia,TX,46919,Ireland,San Francisco,Medical Devices,2023,2022-11-16,2022-11-16,NAI,,,
4790172,"Alkem Laboratories Ltd","324 Industrial Blvd",Seattle,NY,67148,United States,New England,CDRH,2024,2022-08-29,2022-08-29,VAI,"Computer system used for batch release decisions was not validated per 21 CFR 11.10. No validation documentation available.",,
4951652,"Lilly USA LLC","798 Industrial Blvd",Boston,MA,66926,United Kingdom,Pacific,Medical Devices,2022,2026-02-25,2026-02-25,VAI,"Backup and disaster recovery procedures for critical computer systems have not been tested within the required frequency.",,
2945996,"Johnson & Johnson Inc","397 Industrial Blvd",Dallas,MN,27800,India,Southeast,Veterinary,2025,2024-09-19,2024-09-19,VAI,"Failure to ensure complete data integrity and audit trail controls as required under 21 CFR 211.68(b). Electronic records lack appropriate access controls.","Change control system does not require impact assessment for changes to validated processes or analytical methods.","Supplier qualification program lacks periodic re-qualification requirements. 12 of 20 critical suppliers have not been re-assessed."
9789796,"Wockhardt Ltd","789 Industrial Blvd",Newark,GA,46423,Canada,Mid-Atlantic,CFSAN,2024,2026-01-07,2026-01-07,VAI,"CAPA procedures lack effectiveness checks and defined timelines for corrective action implementation.",,
2236491,"Dr Reddy Laboratories Ltd","114 Industrial Blvd",Philadelphia,CA,16471,China,Dallas,OTC Drugs,2023,2022-12-20,2022-12-20,NAI,,,
